Name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Shree Cement,4.3,(918 Reviews),Public,"Kolkata,West Bengal + 117 more",42 years old,"5001-10000
						employees
						(India)"
Power Mech Project...,3.9,(912 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 78 more",14 years old,"10001-50000
						employees
						(Global)"
Whirlpool,4.1,(911 Reviews),Public,"Benton Harbor,Michigan + 96 more",110 years old,"1001-5000
						employees
						(India)"
United Phosphorus,4.3,(911 Reviews),Public,"Mumbai,Maharashtra + 85 more",52 years old,"1001-5000
						employees
						(India)"
GSK Pharmaceutical...,4.3,(910 Reviews),Middlesex + 118 more,191 years old,"1001-5000
						employees
						(India)",
Indus Towers,4.0,(909 Reviews),Private,"Gurgaon/Gurugram,Haryana + 82 more",14 years old,"1001-5000
						employees
						(India)"
Parle Agro,4.3,(904 Reviews),Private,"Mumbai,Maharashtra + 114 more",37 years old,"1001-5000
						employees
						(India)"
Tata Technologies,3.2,(902 Reviews),Private,Singapore + 28 more,32 years old,"5001-10000
						employees
						(India)"
Delphi TVS,4.1,(901 Reviews),Private,Tamil Nadu + 18 more,32 years old,"1001-5000
						employees
						(Global)"
Sigma Electric Man...,4.0,(894 Reviews),Private,"Garner,North Carolina + 13 more",39 years old,"1001-5000
						employees
						(India)"
Lucas-TVS,3.9,(891 Reviews),Private,"Chennai,Tamil Nadu + 39 more",60 years old,"1001-5000
						employees
						(India)"
V-mart,4.3,(887 Reviews),Public,Gurgaon + 152 more,19 years old,"5001-10000
						employees
						(India)"
Crompton Greaves,4.0,(887 Reviews),Public,Mumbai + 68 more,143 years old,"1001-5000
						employees
						(Global)"
AXA Business Servi...,3.8,(885 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",26 years old,"1001-5000
						employees
						(Global)"
IDBI Bank,3.9,(883 Reviews),Public,"Mumbai,Maharashtra + 209 more",57 years old,"10001-50000
						employees
						(Global)"
ICICI Securities,3.6,(883 Reviews),Public,"Mumbai,Maharashtra + 88 more",26 years old,"5001-10000
						employees
						(Global)"
CMS Infosystems,3.8,(881 Reviews),Private,"Mumbai,Maharashtra + 115 more",13 years old,"50001-100000
						employees
						(Global)"
Shriram City Union...,4.1,(879 Reviews),Public,"Chennai,Tamil Nadu + 277 more",35 years old,"10001-50000
						employees
						(India)"
