Name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Maharashtra State ...,4.2,(92 Reviews),Private,Mumbai + 20 more,16 years old,"5001-10000
						employees
						(Global)"
Ministry of Rural ...,4.3,(92 Reviews),Public,New Delhi + 40 more,47 years old,
Eros Group,3.9,(92 Reviews),Private,"Delhi/NCR,New Delhi + 11 more",54 years old,"1001-5000
						employees
						(Global)"
Nippon Koei India,4.6,(92 Reviews),Private,"Delhi/NCR,Delhi + 20 more",13 years old,"1001-5000
						employees
						(Global)"
Autoline Industrie...,3.8,(92 Reviews),Public,"Pune,Maharashtra + 9 more",18 years old,"1001-5000
						employees
						(Global)"
ANEWA Engineering,3.9,(92 Reviews),"Hyderabad/Secunderabad,Telangana",15 years old,"201-500
						employees
						(Global)",
Rahman Industries,3.9,(92 Reviews),Public,"Kanpur,Uttar Pradesh + 6 more",32 years old,"501-1000
						employees
						(Global)"
Allen Solly,4.5,(92 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 26 more",277 years old,"501-1000
						employees
						(Global)"
St Regis,4.2,(92 Reviews),Private,New York + 4 more,117 years old,"5001-10000
						employees
						(Global)"
Par Formulations,4.2,(92 Reviews),New York + 4 more,9 years old,"501-1000
						employees
						(Global)",
Ford Business Serv...,4.4,(92 Reviews),Chennai + 5 more,23 years old,"201-500
						employees
						(Global)",
Thirdware Solution...,4.5,(92 Reviews),Private,"Mumbai,Maharashtra",26 years old,"1001-5000
						employees
						(Global)"
Sims Hospital,4.0,(92 Reviews),Private,Chennai + 5 more,9 years old,"1001-5000
						employees
						(Global)"
Festo,3.9,(92 Reviews),Private,"Ludhiana,Punjab + 10 more",35 years old,"10001-50000
						employees
						(Global)"
Vcs Quality Servic...,4.3,(92 Reviews),"Mumbai,Maharashtra + 18 more",19 years old,"501-1000
						employees
						(Global)",
SOPAN,4.4,(92 Reviews),Private,"Pune,Maharashtra + 16 more",20 years old,"501-1000
						employees
						(Global)"
Ubisoft Entertainm...,4.0,(92 Reviews),Private,Montreuil + 1 more,35 years old,"10001-50000
						employees
						(Global)"
Cashpor Micro Cred...,4.2,(92 Reviews),Varanasi + 14 more,19 years old,"1001-5000
						employees
						(Global)",
ITM Group of Insti...,3.5,(92 Reviews),Private,"Mumbai,Maharashtra + 17 more",30 years old,"501-1000
						employees
						(Global)"
Apcer Life Science...,3.7,(92 Reviews),"Princeton,New Jersey + 1 more",14 years old,"501-1000
						employees
						(Global)",
Ncc Urban Infrastr...,4.3,(92 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 16 more",14 years old,"501-1000
						employees
						(Global)"
MUNDRA SOLAR TECHN...,4.1,(92 Reviews),Ahmedabad + 7 more,6 years old,"501-1000
						employees
						(Global)",
HUDL,3.4,(92 Reviews),Private,Lincoln + 5 more,15 years old,"501-1000
						employees
						(India)"
SYNCHRONIZED SUPPL...,4.1,(92 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",14 years old,"201-500
						employees
						(Global)"
Mahindra Electric,3.4,(92 Reviews),Private,Bengaluru + 7 more,27 years old,"201-500
						employees
						(Global)"
Aditya Birla SunLi...,3.9,(92 Reviews),Partnership,Mumbai + 33 more,27 years old,"10000+
						employees
						(Global)"
Glenmark Life Scie...,4.0,(92 Reviews),Public,Mumbai + 7 more,44 years old,"1001-5000
						employees
						(Global)"
Diffusion Engineer...,3.9,(92 Reviews),Private,"Nagpur,Maharashtra + 15 more",38 years old,"5001-10000
						employees
						(Global)"
Ramoji Film City,3.9,(92 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 3 more",25 years old,"5001-10000
						employees
						(Global)"
Red Bull,4.3,(92 Reviews),Private,Fuschl + 22 more,34 years old,"10001-50000
						employees
						(Global)"
ACS,3.5,(92 Reviews),Private,"Duluth,Georgia + 23 more",23 years old,"100001+
						employees
						(Global)"
SYNCHRONIZED SUPPL...,4.1,(92 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",14 years old,"201-500
						employees
						(Global)"
MUNDRA SOLAR TECHN...,4.1,(92 Reviews),Ahmedabad + 7 more,6 years old,"501-1000
						employees
						(Global)",
Ncc Urban Infrastr...,4.3,(92 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 16 more",14 years old,"501-1000
						employees
						(Global)"
Mavenir Systems,3.7,(92 Reviews),Private,"Richardson,Texas + 8 more",48 years old,"1001-5000
						employees
						(Global)"
SALESFORCE,4.1,(92 Reviews),"San Francisco,California + 9 more",22 years old,"1001-5000
						employees
						(India)",
OPERATIONAL ENERGY...,3.6,(92 Reviews),Private,"Chennai,Tamil Nadu + 22 more",14 years old,"1001-5000
						employees
						(Global)"
Xplore-Tech Servic...,2.8,(92 Reviews),Private,"Kolkata,West Bengal",17 years old,"51-200
						employees
						(Global)"
Calsoft,3.7,(92 Reviews),Private,"San Jose,California + 2 more",23 years old,"501-1000
						employees
						(Global)"
YFC PROJECTS,4.2,(91 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",35 years old,"501-1000
						employees
						(Global)"
Maharishi Markande...,3.8,(91 Reviews),Ambala + 2 more,28 years old,"201-500
						employees
						(Global)",
Parsvnath Develope...,3.0,(91 Reviews),Public,"Delhi/NCR,Delhi + 12 more",31 years old,"1001-5000
						employees
						(Global)"
Holisol Logistics,3.9,(91 Reviews),Private,"Delhi/NCR,Delhi + 21 more",12 years old,"201-500
						employees
						(Global)"
Source One Managem...,3.4,(91 Reviews),Private,"Grove,Pennsylvania + 6 more",36 years old,"501-1000
						employees
						(Global)"
Development Consul...,4.0,(91 Reviews),Private,Kolkata + 4 more,71 years old,"501-1000
						employees
						(Global)"
World Health Organ...,4.4,(91 Reviews),Private,"Geneva,Canton Of Geneva + 42 more",73 years old,"1001-5000
						employees
						(Global)"
Madura Garments,3.9,(91 Reviews),Private,Bangalore + 22 more,33 years old,"11-50
						employees
						(Global)"
Bonanza Portfolio,3.8,(91 Reviews),Private,"Mumbai,Maharashtra + 28 more",27 years old,"1001-5000
						employees
						(Global)"
United Telecoms,3.5,(91 Reviews),Private,Bengaluru + 12 more,38 years old,"1001-5000
						employees
						(Global)"
Dimension India Ne...,3.7,(91 Reviews),Private,"Noida,Uttar Pradesh + 10 more",22 years old,"201-500
						employees
						(Global)"
Sahara India Finan...,4.3,(91 Reviews),Lucknow + 40 more,34 years old,"10001-50000
						employees
						(Global)",
Gandour India Food...,3.8,(91 Reviews),"Hyderabad/Secunderabad,Telangana + 26 more",22 years old,"1001-5000
						employees
						(Global)",
Haldiram Bhujiawal...,3.9,(91 Reviews),Private,"Kolkata,West Bengal + 20 more",63 years old,"501-1000
						employees
						(Global)"
Balaji Action Buil...,4.0,(91 Reviews),"Delhi/NCR,New Delhi + 10 more",31 years old,"1001-5000
						employees
						(Global)",
TATA MEDICAL CENTE...,3.8,(91 Reviews),Private,"Kolkata,West Bengal",17 years old,"501-1000
						employees
						(Global)"
Jindal Worldwide,3.5,(91 Reviews),Public,"Ahmedabad,Gujarat + 1 more",35 years old,"1001-5000
						employees
						(Global)"
AIDA Cruises,4.7,(91 Reviews),Private,Rostock + 6 more,25 years old,"201-500
						employees
						(India)"
Citrus Hotels,4.2,(91 Reviews),Private,Mumbai + 21 more,13 years old,"1001-5000
						employees
						(Global)"
GRT Jewellers,4.1,(91 Reviews),Private,"Chennai,Tamil Nadu + 13 more",57 years old,"5001-10000
						employees
						(Global)"
Sathavahana Ispat,3.3,(91 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 1 more",32 years old,"201-500
						employees
						(Global)"
Sterling Biotech,4.0,(91 Reviews),Public,"Mumbai,Maharashtra",36 years old,"1001-5000
						employees
						(Global)"
CDM Smith,4.4,(91 Reviews),Private,Boston + 21 more,74 years old,"5001-10000
						employees
						(Global)"
Bacardi,4.4,(91 Reviews),Private,"Hamilton,Bermuda + 29 more",159 years old,"201-500
						employees
						(India)"
Envestnet Asset Ma...,3.8,(91 Reviews),Public,"Chicago,Illinois + 1 more",22 years old,"1001-5000
						employees
						(Global)"
Olympus,4.1,(91 Reviews),Private,Tokyo + 11 more,11 years old,"10001-50000
						employees
						(Global)"
Mashreq Bank,3.1,(91 Reviews),"Dubai,Dubai + 5 more",54 years old,"1001-5000
						employees
						(Global)",
Fresenius Medical ...,4.1,(91 Reviews),Public,Bad Homburg + 23 more,25 years old,"201-500
						employees
						(India)"
WEG,3.7,(91 Reviews),Private,"Tamil Nadu,Karnataka + 3 more",60 years old,"10001-50000
						employees
						(Global)"
O2 Spa,3.0,(91 Reviews),Private,Hyderabad + 16 more,14 years old,"501-1000
						employees
						(Global)"
Dev Information Te...,3.6,(91 Reviews),Public,"Ahmedabad,Gujarat + 22 more",24 years old,"501-1000
						employees
						(Global)"
KNR Constructions,4.3,(91 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 15 more",26 years old,"1001-5000
						employees
						(Global)"
Elsamex Maintenanc...,4.3,(91 Reviews),Private,Ahmedabad + 24 more,22 years old,"201-500
						employees
						(Global)"
Makino Auto Indust...,3.6,(91 Reviews),Private,Mason + 4 more,31 years old,"501-1000
						employees
						(Global)"
IOCL Refinery,4.4,(91 Reviews),Public,New Delhi + 18 more,62 years old,"10001-50000
						employees
						(Global)"
Speridian Technolo...,3.7,(91 Reviews),Private,"Albuquerque,New Mexico + 7 more",19 years old,"1001-5000
						employees
						(Global)"
B9 Beverages,3.9,(91 Reviews),Private,"New Delhi,Delhi + 15 more",6 years old,"501-1000
						employees
						(Global)"
Jodas Expoim,3.2,(91 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",15 years old,"501-1000
						employees
						(Global)"
Chai Point,3.9,(90 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 11 more",11 years old,"1001-5000
						employees
						(Global)"
ITW India,4.1,(90 Reviews),Private,"Glenview,IL + 13 more",109 years old,"10001-50000
						employees
						(Global)"
Pitney Bowes,4.4,(90 Reviews),Private,Stamford + 8 more,101 years old,"501-1000
						employees
						(India)"
Eastern Software S...,3.1,(90 Reviews),Private,"Noida,Uttar Pradesh + 5 more",31 years old,"5001-10000
						employees
						(Global)"
Acer India,3.7,(90 Reviews),Public,Xizhi + 25 more,45 years old,"51-200
						employees
						(India)"
WaterHealth Intern...,3.6,(90 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 9 more",16 years old,"501-1000
						employees
						(Global)"
Fortune Park Hotel...,3.9,(90 Reviews),Private,Gurgaon + 26 more,26 years old,"5001-10000
						employees
						(Global)"
Oriental Aromatics,3.4,(90 Reviews),Public,"Mumbai,Maharashtra + 3 more",66 years old,"501-1000
						employees
						(Global)"
Gaja Engineering,4.4,(90 Reviews),Private,Hyderabad + 8 more,10 years old,"201-500
						employees
						(Global)"
Slr Metaliks,4.3,(90 Reviews),Private,Karnataka + 4 more,16 years old,"501-1000
						employees
						(Global)"
Aster Medcity,4.3,(90 Reviews),Private,"Kochi/Cochin,Kerala + 2 more",6 years old,"1001-5000
						employees
						(Global)"
Koye Pharmaceutica...,3.4,(90 Reviews),Private,"Mumbai,Maharashtra + 20 more",8 years old,"201-500
						employees
						(Global)"
ETA ASCON Group,4.2,(90 Reviews),Private,Dubai + 10 more,48 years old,"50001-100000
						employees
						(Global)"
Clix Capital Servi...,4.2,(90 Reviews),"Gurgaon/Gurugram,Haryana + 14 more",5 years old,"201-500
						employees
						(India)",
International Cert...,3.0,(90 Reviews),Private,"Mumbai,Maharashtra + 19 more",22 years old,"1001-5000
						employees
						(Global)"
Met Technologies,2.7,(90 Reviews),Private,"Kolkata,West Bengal + 1 more",11 years old,"501-1000
						employees
						(Global)"
Kitex Garments,3.7,(90 Reviews),Public,"Kochi/Cochin,Kerala + 5 more",29 years old,"5001-10000
						employees
						(Global)"
Pitney Bowes,4.4,(90 Reviews),Private,Stamford + 8 more,101 years old,"501-1000
						employees
						(India)"
Mymoneymantra,3.3,(90 Reviews),Private,"Delhi/NCR,Delhi + 6 more",32 years old,"1001-5000
						employees
						(Global)"
Eastern Software S...,3.1,(90 Reviews),Private,"Noida,Uttar Pradesh + 5 more",31 years old,"5001-10000
						employees
						(Global)"
Chai Point,3.9,(90 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 11 more",11 years old,"1001-5000
						employees
						(Global)"
Dhampur Sugar Mill...,3.4,(90 Reviews),Public,"Delhi/NCR,New Delhi + 11 more",88 years old,"1001-5000
						employees
						(Global)"
Kogta Financial,4.1,(90 Reviews),"Jaipur,Rajasthan + 35 more",25 years old,"1001-5000
						employees
						(Global)",
Jasper Industries,4.3,(90 Reviews),Private,Hyderabad + 6 more,66 years old,"1001-5000
						employees
						(Global)"
Sakal Media Group,3.7,(90 Reviews),Private,"Pune,Maharashtra + 18 more",89 years old,"1001-5000
						employees
						(Global)"
Sysinformation Hea...,3.3,(90 Reviews),Private,"Texas,Texas + 1 more",16 years old,"1001-5000
						employees
						(Global)"
Jyote Motors,3.7,(90 Reviews),Private,"Bhubaneswar,Odisha + 7 more",25 years old,"201-500
						employees
						(Global)"
Apollo Speciality ...,4.1,(90 Reviews),Chennai + 14 more,38 years old,"50001-100000
						employees
						(Global)",
Bhashyam Education...,4.3,(90 Reviews),Private,"Guntur,Andhra Pradesh + 20 more",23 years old,"201-500
						employees
						(Global)"
Swaraj Engines,3.5,(90 Reviews),Public,Mohali + 5 more,32 years old,"501-1000
						employees
						(Global)"
Splash Fashions,4.0,(90 Reviews),Dubai + 21 more,28 years old,"201-500
						employees
						(Global)",
Karma Ayurveda,4.4,(90 Reviews),,,,
Institute of Chemi...,4.1,(90 Reviews),Private,Mumbai + 18 more,88 years old,"501-1000
						employees
						(Global)"
Dvara KGFS,4.0,(90 Reviews),Chennai + 17 more,13 years old,"1001-5000
						employees
						(Global)",
ITC Limited Foods ...,4.2,(90 Reviews),Kolkata + 20 more,111 years old,"10001-50000
						employees
						(Global)",
Acer India,3.7,(90 Reviews),Public,Xizhi + 25 more,45 years old,"51-200
						employees
						(India)"
Matrix ComSec,3.5,(90 Reviews),Private,Vadodara + 4 more,30 years old,"1001-5000
						employees
						(Global)"
WaterHealth Intern...,3.6,(90 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 9 more",16 years old,"501-1000
						employees
						(Global)"
Fortune Park Hotel...,3.9,(90 Reviews),Private,Gurgaon + 26 more,26 years old,"5001-10000
						employees
						(Global)"
INOX Air Products,4.4,(90 Reviews),Private,Mumbai + 24 more,58 years old,"1001-5000
						employees
						(Global)"
Supreme Infrastruc...,3.4,(90 Reviews),Public,Mumbai + 15 more,38 years old,"501-1000
						employees
						(Global)"
Clix Capital Servi...,4.2,(90 Reviews),"Gurgaon/Gurugram,Haryana + 14 more",5 years old,"201-500
						employees
						(India)",
ETA ASCON Group,4.2,(90 Reviews),Private,Dubai + 10 more,48 years old,"50001-100000
						employees
						(Global)"
Dhani Healthcare,4.1,(90 Reviews),Gurgaon/Gurugram + 37 more,,,
Softtek,3.8,(90 Reviews),Private,"Monterrey,Nuevo Leon + 2 more",39 years old,"10001-50000
						employees
						(Global)"
Royaloak Incorpora...,2.9,(90 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 11 more",19 years old,"201-500
						employees
						(Global)"
Satvat Infosol,3.9,(89 Reviews),Private,"Chennai,Tamil Nadu + 1 more",22 years old,"201-500
						employees
						(India)"
SirionLabs,3.7,(89 Reviews),"Bellevue,Washington",9 years old,"201-500
						employees
						(India)",
Shipping Corporati...,3.9,(89 Reviews),Private,Mumbai + 5 more,60 years old,"1001-5000
						employees
						(Global)"
ICAI,4.0,(89 Reviews),Private,"Delhi/NCR,Delhi + 25 more",72 years old,"501-1000
						employees
						(Global)"
Velan Info Service...,4.3,(89 Reviews),Private,"Dover,Delaware + 1 more",14 years old,"201-500
						employees
						(India)"
Amco Batteries,4.2,(89 Reviews),"Chennai,Tamil Nadu + 22 more",66 years old,"201-500
						employees
						(Global)",
TMEIC,4.0,(89 Reviews),Private,"Salem,VA + 6 more","201-500
						employees
						(Global)",
Hiranandani group,4.0,(89 Reviews),Private,"Mumbai,Maharashtra + 7 more",43 years old,"5001-10000
						employees
						(Global)"
Kolkata Bazaar,4.1,(89 Reviews),"Kolkata,West Bengal + 17 more",19 years old,"1001-5000
						employees
						(Global)",
Arabian Bemco Cont...,4.7,(89 Reviews),Jeddah + 10 more,53 years old,"10001-50000
						employees
						(Global)",
Barbrik Project,4.2,(89 Reviews),Surajpur + 12 more,13 years old,"201-500
						employees
						(Global)",
Micro Plastics,3.4,(89 Reviews),Harohalli + 3 more,32 years old,"201-500
						employees
						(Global)",
Digital Nirvana In...,3.8,(89 Reviews),Private,"Fremont,California",25 years old,"201-500
						employees
						(Global)"
BMW Industries,4.3,(89 Reviews),Public,Kolkata + 10 more,51 years old,"501-1000
						employees
						(Global)"
Corporate Infotech,3.8,(89 Reviews),Private,"Noida,Uttar Pradesh + 11 more",14 years old,"501-1000
						employees
						(Global)"
Organic India,4.0,(89 Reviews),Private,"Delhi/NCR,Delhi + 21 more",24 years old,"501-1000
						employees
						(Global)"
Hays Business Solu...,3.7,(89 Reviews),"Gurgaon,Haryana + 2 more",10 years old,"501-1000
						employees
						(India)",
Sofitel Luxury Hot...,4.5,(89 Reviews),Paris + 4 more,57 years old,"10001-50000
						employees
						(Global)",
ANY Graphics,3.5,(89 Reviews),Private,"Noida,Uttar Pradesh + 16 more",22 years old,"51-200
						employees
						(Global)"
BPL Medical Techno...,4.0,(89 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 15 more",54 years old,"501-1000
						employees
						(Global)"
Pearl Polymers,4.2,(89 Reviews),Public,"Delhi/NCR,Delhi + 13 more",37 years old,"501-1000
						employees
						(Global)"
Tangoe,2.9,(89 Reviews),Private,"Bangalore/Bengaluru,Karnataka",21 years old,"1001-5000
						employees
						(Global)"
Electrical Manufac...,3.6,(89 Reviews),Private,"Kolkata,West Bengal + 32 more",68 years old,"1001-5000
						employees
						(Global)"
Texspin Bearings,4.3,(89 Reviews),Private,"Ahmedabad,Gujarat + 8 more",60 years old,"1001-5000
						employees
						(Global)"
Mövenpick Hotels &...,4.4,(89 Reviews),Private,Paris + 16 more,48 years old,"10001-50000
						employees
						(Global)"
Service Master Cle...,4.2,(89 Reviews),Chicago + 25 more,92 years old,"10001-50000
						employees
						(Global)",
Rural Electrificat...,4.3,(89 Reviews),Private,New Delhi + 26 more,52 years old,"501-1000
						employees
						(Global)"
Shaze Luxury Retai...,3.1,(89 Reviews),"Mumbai,Maharashtra + 8 more",11 years old,"51-200
						employees
						(Global)",
Cummins Generator ...,4.4,(89 Reviews),Private,Ahmednagar + 10 more,30 years old,"1001-5000
						employees
						(Global)"
SunMax Auto Engine...,3.1,(89 Reviews),Private,New Delhi + 7 more,17 years old,"501-1000
						employees
						(Global)"
Kaveri Seed Compan...,4.2,(89 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 26 more",45 years old,"501-1000
						employees
						(Global)"
Emrill Services LL...,4.4,(89 Reviews),Dubai + 2 more,19 years old,"5001-10000
						employees
						(Global)",
Impressions Servic...,4.1,(89 Reviews),Private,"Gurgaon/Gurugram,Haryana + 9 more",27 years old,"10001-50000
						employees
						(Global)"
VIVO Healthcare,2.8,(89 Reviews),"Gurgaon/Gurugram,Haryana + 14 more",12 years old,"201-500
						employees
						(Global)",
NSL Sugars,4.2,(89 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 11 more",22 years old,"5001-10000
						employees
						(Global)"
Border Roads Organ...,4.4,(89 Reviews),Public,New Delhi + 12 more,61 years old,"5001-10000
						employees
						(Global)"
Sindhu Cargo Servi...,3.3,(89 Reviews),Private,Bengaluru + 7 more,34 years old,"501-1000
						employees
						(Global)"
STPL,4.6,(89 Reviews),Private,San Mateo + 19 more,17 years old,"51-200
						employees
						(Global)"
Sigma Supply Chain...,3.7,(89 Reviews),Private,Noida + 19 more,14 years old,"501-1000
						employees
						(Global)"
Raheja Developers,3.6,(89 Reviews),Public,"Gurgaon/Gurugram,Haryana + 3 more",32 years old,"201-500
						employees
						(Global)"
L. V. Prasad Eye I...,4.6,(89 Reviews),"Hyderabad/Secunderabad,Telangana + 6 more",34 years old,"1001-5000
						employees
						(Global)",
Rave Technologies,3.8,(89 Reviews),Private,"Mumbai,Maharashtra + 3 more",34 years old,"501-1000
						employees
						(Global)"
Dream India School...,4.0,(89 Reviews),Private,Hyderabad + 30 more,8 years old,"1001-5000
						employees
						(Global)"
Grivaa Capital,4.6,(89 Reviews),Private,New Delhi + 2 more,6 years old,"51-200
						employees
						(Global)"
Avantor,3.2,(89 Reviews),Private,"Radnor Township,Pennsylvania + 14 more",117 years old,"10001-50000
						employees
						(Global)"
InfoBeans,3.3,(89 Reviews),Public,"Danville,California + 2 more",21 years old,"501-1000
						employees
						(India)"
Epsilon Carbon,3.3,(89 Reviews),Private,"Mumbai,Maharashtra + 4 more",11 years old,"201-500
						employees
						(Global)"
Wicked Ride Advent...,4.0,(88 Reviews),Private,Bengaluru + 4 more,7 years old,"501-1000
						employees
						(Global)"
Costa Coffee,4.1,(88 Reviews),Private,Dunstable + 15 more,50 years old,"10001-50000
						employees
						(Global)"
Furnace Fabrica In...,4.0,(88 Reviews),Private,"Navi Mumbai,Maharashtra + 9 more",48 years old,"501-1000
						employees
						(Global)"
Afflatus Gravures,3.6,(88 Reviews),Private,"Noida,Uttar Pradesh + 9 more",18 years old,"201-500
						employees
						(Global)"
Muthoot Housing Fi...,3.6,(88 Reviews),Private,"Mumbai,Maharashtra + 37 more",11 years old,"201-500
						employees
						(Global)"
Salini Impregilo,4.4,(88 Reviews),Private,Milan + 4 more,7 years old,"50001-100000
						employees
						(Global)"
Sendan Internation...,3.8,(88 Reviews),Private,Al Jubail + 5 more,27 years old,"1001-5000
						employees
						(Global)"
Nalco,4.7,(88 Reviews),Private,"Bhubaneswar,Odisha + 5 more",40 years old,"5001-10000
						employees
						(Global)"
Técnicas Reunidas,4.5,(88 Reviews),Private,"Madrid,Madrid + 9 more",49 years old,"5001-10000
						employees
						(Global)"
Venus Industrial C...,3.9,(88 Reviews),Private,"Faridabad,Haryana + 9 more",49 years old,"1001-5000
						employees
						(Global)"
Tuaman Engineering,4.1,(88 Reviews),Private,"Kolkata,West Bengal + 7 more",16 years old,"501-1000
						employees
						(Global)"
Wicked Ride Advent...,4.0,(88 Reviews),Private,Bengaluru + 4 more,7 years old,"501-1000
						employees
						(Global)"
Venus Industrial C...,3.9,(88 Reviews),Private,"Faridabad,Haryana + 9 more",49 years old,"1001-5000
						employees
						(Global)"
Innova Solutions,3.4,(88 Reviews),Private,"Duluth,Georgia + 5 more",15 years old,"1001-5000
						employees
						(Global)"
Pyrotech Electroni...,3.5,(88 Reviews),Private,"Udaipur,Rajasthan + 5 more",45 years old,"1001-5000
						employees
						(Global)"
Muthoot Housing Fi...,3.6,(88 Reviews),Private,"Mumbai,Maharashtra + 37 more",11 years old,"201-500
						employees
						(Global)"
Him Teknoforge,3.9,(88 Reviews),Public,"Chandigarh,Chandigarh + 6 more",40 years old,"1001-5000
						employees
						(Global)"
Vijay Tanks & Vess...,4.4,(88 Reviews),Private,Sankarda + 7 more,65 years old,"1001-5000
						employees
						(Global)"
Kubota Agricultura...,3.9,(88 Reviews),Private,Chennai + 15 more,13 years old,"201-500
						employees
						(Global)"
Técnicas Reunidas,4.5,(88 Reviews),Private,"Madrid,Madrid + 9 more",49 years old,"5001-10000
						employees
						(Global)"
Tuaman Engineering,4.1,(88 Reviews),Private,"Kolkata,West Bengal + 7 more",16 years old,"501-1000
						employees
						(Global)"
Kd Logistics,4.0,(88 Reviews),Thane + 19 more,16 years old,"1001-5000
						employees
						(Global)",
Scholastic,4.1,(88 Reviews),Private,"Gurgaon/Gurugram,Haryana + 23 more",24 years old,"5001-10000
						employees
						(Global)"
Cygnet Infotech,3.7,(88 Reviews),Private,"Ahmedabad,Gujarat + 3 more",21 years old,"1001-5000
						employees
						(Global)"
Eternis Fine Chemi...,3.4,(88 Reviews),Public,"Mumbai,Maharashtra + 3 more",33 years old,"501-1000
						employees
						(Global)"
Aarti Steels,4.1,(88 Reviews),Public,"Ludhiana,Punjab + 3 more",42 years old,"1001-5000
						employees
						(Global)"
Regency Hospital,3.7,(88 Reviews),Private,"Kanpur,Uttar Pradesh + 4 more",26 years old,"501-1000
						employees
						(Global)"
MahaOnline,4.4,(88 Reviews),Public,"Mumbai,Maharashtra + 18 more",11 years old,"501-1000
						employees
						(Global)"
Saija Finance,3.8,(88 Reviews),"Patna,Bihar + 17 more",14 years old,"501-1000
						employees
						(Global)",
Sv Edusports,4.4,(88 Reviews),Private,Bangalore + 23 more,12 years old,"201-500
						employees
						(Global)"
Elofic Industries,3.8,(88 Reviews),Private,"Faridabad,Haryana + 11 more",70 years old,"501-1000
						employees
						(Global)"
Orra Fine Jeweller...,4.1,(88 Reviews),Private,"Mumbai,Maharashtra + 25 more",17 years old,"201-500
						employees
						(Global)"
Poorvika Mobiles,4.4,(88 Reviews),"Chennai,Tamil Nadu + 15 more",17 years old,,
Doosan Heavy Indus...,4.2,(88 Reviews),Private,Seoul + 12 more,59 years old,"5001-10000
						employees
						(Global)"
Welspun Flooring,3.6,(88 Reviews),Public,Hyderabad + 6 more,5 years old,"201-500
						employees
						(Global)"
Europa Locks,3.2,(88 Reviews),Private,"Pune,Maharashtra + 12 more",37 years old,"201-500
						employees
						(Global)"
HCG Cancer Centre,3.6,(88 Reviews),Public,"Ahmedabad,Gujarat + 15 more",15 years old,"1001-5000
						employees
						(Global)"
AVIOM,3.9,(88 Reviews),Private,New Delhi + 38 more,5 years old,"201-500
						employees
						(India)"
Nalco,4.7,(88 Reviews),Private,"Bhubaneswar,Odisha + 5 more",40 years old,"5001-10000
						employees
						(Global)"
Aamby Valley City,4.0,(88 Reviews),Public,Pune + 4 more,18 years old,"1001-5000
						employees
						(Global)"
Creative Synergies...,2.5,(88 Reviews),Private,Okemos + 1 more,10 years old,"501-1000
						employees
						(Global)"
AVIOM,3.9,(88 Reviews),Private,New Delhi + 38 more,5 years old,"201-500
						employees
						(India)"
Theobroma Foods,4.0,(88 Reviews),Private,"Mumbai,Maharashtra + 6 more",17 years old,"201-500
						employees
						(Global)"
Nipro India Corpor...,3.9,(88 Reviews),"Satara,Maharashtra + 9 more",11 years old,"1001-5000
						employees
						(Global)",
Alchemy Techsol In...,3.6,(88 Reviews),Private,Bangalore + 10 more,7 years old,"1001-5000
						employees
						(Global)"
AVRA Laboratories,4.1,(88 Reviews),"Hyderabad/Secunderabad,Telangana + 3 more",26 years old,"501-1000
						employees
						(Global)",
OodlesTechnologies,2.8,(88 Reviews),Private,"Gurgaon/Gurugram,Haryana + 3 more",12 years old,"201-500
						employees
						(Global)"
Vishvaraj Infrastr...,3.9,(88 Reviews),"Nagpur,Maharashtra + 20 more",22 years old,"51-200
						employees
						(Global)",
Jiva Ayurvedic Pha...,3.5,(88 Reviews),Private,"Faridabad,Haryana + 20 more",29 years old,"1001-5000
						employees
						(Global)"
BharatPe,3.5,(88 Reviews),"Delhi/NCR,New Delhi + 23 more",4 years old,"201-500
						employees
						(Global)",
JoulestoWatts Busi...,2.9,(87 Reviews),"Bangalore/Bengaluru,Karnataka + 9 more",6 years old,"51-200
						employees
						(India)",
Scientific Games,3.8,(87 Reviews),"Las Vegas,Nevada + 3 more",48 years old,"5001-10000
						employees
						(Global)",
Sand Martin Consul...,3.1,(87 Reviews),New Delhi + 4 more,37 years old,"201-500
						employees
						(Global)",
Sapient Global Mar...,3.5,(87 Reviews),Private,Boston + 8 more,31 years old,"1001-5000
						employees
						(Global)"
Unity Infraproject...,3.3,(87 Reviews),Public,"Mumbai,Maharashtra + 15 more",42 years old,"1001-5000
						employees
						(Global)"
